Investor,Srisk,Category,Sigma_p,MDD_p,Beta_p,HHI
Cathie Wood,1.3073,AGGRESSIVE,0.6314,-0.5171,2.2991,0.0935
Ken Griffin,0.5773,NEUTRAL,0.4069,-0.3936,1.643,0.3094
David Tepper,0.4892,NEUTRAL,0.3735,-0.3491,1.5087,0.2154
Stan Druckenmiller,0.4096,NEUTRAL,0.3462,-0.332,1.4505,0.1988
George Soros,0.3457,NEUTRAL,0.3276,-0.3296,1.4153,0.255
Michael Burry,0.2751,SAFE,0.4078,-0.5572,1.3128,0.735
Warren Buffett,-0.0441,SAFE,0.2548,-0.3486,0.9478,0.3338
Bill Ackman,-0.0756,SAFE,0.2631,-0.3653,0.8352,0.34
Ray Dalio,-0.1819,SAFE,0.2038,-0.194,0.4004,0.735
Peter Lynch,-0.2017,SAFE,0.2015,-0.237,0.5254,0.32
